ID,Country,Name,Short Name,Type,Net Only Amount,VATIDRequired,Percents,Codes,Introduced At,Expired At
03b9a185-391d-4ddc-adc6-a38867cc25c2,DE,innergemeinschaftlicher Erwerb neuer Fahrzeuge,igE KFZ,RECLAIMABLE,NET ONLY,VAT-ID,"[16, 19]","BMD: 35r
DVO: 35r",,
97fbe0fb-076f-4c27-aa08-e453551e4557,DE,Lohnveredelung iVm Ausfuhr,UST AL LV,PAYABLE,NET ONLY,,,DATEV: 1r,,
c619ebed-7503-4ce7-a023-3eefd0cd2ecb,DE,RC Gebäude §19/1,A RC 13/2 Nr. 8,RECLAIMABLE,NET ONLY,VAT-ID,"[16, 19]","DATEV: 551r 16%
DATEV: 551r 19%
DATEV: 6551 16%
DATEV: 6551 19%",,
d053ec47-27d1-4d92-b484-596e33789f3a,DE,Reverse Charge Ausgang,U RC,PAYABLE,NET ONLY,VAT-ID,,"BMD: 77r
DATEV: 47r
DVO: 77r",,
3bc29b8a-daed-497a-aca0-3d4f855a50c5,DE,Reverse Charge Eingang,A RC 13/2 Nr.1,RECLAIMABLE,NET ONLY,VAT-ID,"[16, 19]","BMD: 18
BMD: 19r
DATEV: 511r 16%
DATEV: 511r 19%
DATEV: 6511 16%
DATEV: 6511 19%
DVO: 18
DVO: 19r",,
ec41a564-9337-4c00-be25-824c83c1d209,DE,Umsatz aus Lieferung nicht steuerbar,UST Lief. n.sb.,PAYABLE,NET ONLY,,,"BMD: 81r
DVO: 81r",,
457f3613-c08c-46c5-a448-ba9641c00ce7,DE,Umsätze §19/1a,U RC 13/2 Nr.4,PAYABLE,NET ONLY,VAT-ID,,"BMD: 27r
DATEV: 46r
DVO: 27r",,
580a446c-f4bb-4816-883c-e09b7678ded6,DE,Umsatz RC Gas & Elektrizität,U RC 13/2 Nr.5,PAYABLE,NET ONLY,VAT-ID,,DATEV: 46r,,
fdc77ded-af73-4602-903e-e9f11195cf47,DE,Umsatz RC Mobilfunk,U RC 13/2 Nr. 10,PAYABLE,NET ONLY,VAT-ID,,DATEV: 201r,,
c097991b-9cb2-4a1c-80f8-f59941c8d50c,DE,Umsatz RC Schrott & Altmetall,U RC 13/2 Nr.7,PAYABLE,NET ONLY,VAT-ID,,"BMD: 57r
DATEV: 46r
DVO: 57r",,
f93c27f5-30d1-470c-a313-5bab130144b6,DE,Umsatz RC Sicherungsübereignung,U RC 13/2 Nr.2,PAYABLE,NET ONLY,VAT-ID,,DATEV: 46r,,
2eae60ea-c50c-44fb-9842-7da0cb826c45,DE,Umsatz RC Treibhausgas & Mobilfunk,U RC 13/2 Nr.6,PAYABLE,NET ONLY,VAT-ID,,DATEV: 46r,,
268bea24-0add-4213-a70c-3010f10e4ec9,DE,Umsatzsteuer,UST,PAYABLE,,,"[5, 7, 16, 19]","BMD: 1r
DATEV: 2r 7%
DATEV: 3r 19%
DATEV: 4r 5%
DATEV: 5r 16%
DVO: 1r",,
649927ac-81c8-4680-89f2-0a3033f19546,DE,Vorsteuer,VST,RECLAIMABLE,,,"[5, 7, 16, 19]","BMD: 2r
BMD: 42
DATEV: 6r 5%
DATEV: 7r 16%
DATEV: 8r 7%
DATEV: 9r 19%
DVO: 2r
DVO: 42",,
